dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpint-cpintfref cpitch.order.stm.cpint-cpintfref cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpint-cpintfref cpitch.weight.stm.cpint-cpintfref cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 cpitch.89 cpitch.90 probability information.content entropy 
701 1 1 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 0 0 NA NA 90 96 4 600000 0 0 23 0 0 0 0.5 0.5 1.0 1.0 0.022727273 5.4594316 5.45943 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 5.4594316 5.45943 
701 1 2 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 83 96 4 600000 0 0 23 24 0 0 0.9970233 0.0029767153 1.0 1.0 0.0014094101 9.470693 2.387358 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.0014094101 0.010507366 0.019577341 0.10088756 0.41570464 0.09186816 0.3078973 0.0014094101 9.470693 2.387358 
701 1 3 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 62 96 4 600000 0 0 23 48 0 0 0.9981369 0.0018631115 1.0 1.0 1.5856315e-4 12.622654 2.2281435 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 1.5856315e-4 0.0014212457 1.5856315e-4 0.0029962345 1.5856315e-4 0.0036257303 0.0026813967 0.0014212457 0.07132865 0.0017364292 0.2550784 0.0011059309 0.098859265 0.45508322 0.0026813967 0.08321893 0.011797027 0.00236649 1.5856315e-4 1.5856315e-4 12.622654 2.2281435 
701 1 4 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 57 96 4 600000 0 0 23 72 0 0 0.992028 0.00797199 1.0 1.0 0.006674595 7.2271037 2.75534 1.5678286e-4 1.5678286e-4 1.5678286e-4 2.9249868e-4 5.6253356e-4 1.5678286e-4 1.5678286e-4 0.0019016688 5.6253356e-4 0.030264784 2.9249868e-4 0.006674595 0.0016347319 0.046541583 0.31644207 0.005749701 0.18830779 0.035219014 0.25019652 0.038475268 0.0016347319 0.053817544 5.6253356e-4 0.008784963 2.9249868e-4 0.00389607 0.0032324735 1.5678286e-4 0.0012336443 1.5678286e-4 2.9249868e-4 1.5678286e-4 1.5678286e-4 1.5678286e-4 1.5678286e-4 1.5678286e-4 1.5678286e-4 1.5678286e-4 1.5678286e-4 1.5678286e-4 1.5678286e-4 1.5678286e-4 1.5678286e-4 1.5678286e-4 0.006674595 7.2271037 2.75534 
701 1 5 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 55 96 4 600000 0 0 23 96 1 0 0.99201745 0.007982591 1.0 1.0 0.3838845 1.3812557 2.758489 1.925571e-4 0.0015748668 0.0025545747 1.925571e-4 0.00800135 5.8983924e-4 0.010711251 0.03983544 0.009550636 0.3838845 0.008117625 0.17123139 0.008776268 0.19402315 0.05920189 3.916233e-4 0.057904974 1.925571e-4 0.0086988015 0.016038416 1.925571e-4 0.010749918 3.916233e-4 0.0025545747 5.8983924e-4 1.925571e-4 1.925571e-4 1.925571e-4 1.925571e-4 1.925571e-4 3.916233e-4 1.925571e-4 1.925571e-4 1.925571e-4 1.925571e-4 1.925571e-4 1.925571e-4 1.925571e-4 1.925571e-4 1.925571e-4 1.925571e-4 1.925571e-4 1.925571e-4 1.925571e-4 0.3838845 1.3812557 2.758489 
701 1 6 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 51 96 4 600000 0 0 23 120 2 0 0.98667794 0.013322075 1.0 1.0 0.0020578639 8.924637 2.967657 2.1814089e-5 0.0035552038 0.018251725 6.2646664e-5 0.015815444 0.0020578639 0.13321927 0.19301102 0.12680832 0.17630322 0.0036422447 0.22882576 0.0025003052 0.010017439 0.055728473 6.2646664e-5 0.008805684 4.997768e-4 0.0117379865 0.0036320703 2.1814089e-5 0.004796171 4.229982e-5 8.2903e-5 8.2903e-5 2.1814089e-5 2.1814089e-5 2.1814089e-5 2.1814089e-5 2.1814089e-5 2.1814089e-5 2.1814089e-5 2.1814089e-5 2.1814089e-5 2.1814089e-5 2.1814089e-5 2.1814089e-5 2.1814089e-5 2.1814089e-5 2.1814089e-5 2.1814089e-5 2.1814089e-5 2.1814089e-5 2.1814089e-5 0.0020578639 8.924637 2.967657 
701 1 7 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 76 96 4 600000 0 0 23 144 2 0 0.9915867 0.00841336 0.99999994 1.0 3.4879925e-4 11.485315 2.7749586 0.0011101809 3.4879925e-4 0.08534822 0.008607213 0.27113482 0.20350261 0.016532633 0.20930633 0.0033726073 0.1376167 0.030082969 3.4879925e-4 0.01108874 3.4879925e-4 0.008855615 3.4879925e-4 0.0011101809 3.4879925e-4 0.001866723 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 3.4879925e-4 11.485315 2.7749586 
701 1 8 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 76 96 4 600000 0 0 23 168 0 0 0.99279815 0.0072018756 1.0 1.0 0.19788693 2.337252 2.7110083 1.5766152e-4 1.5766152e-4 1.5766152e-4 1.5766152e-4 1.5766152e-4 1.5766152e-4 1.5766152e-4 1.5766152e-4 1.5766152e-4 1.5766152e-4 1.5766152e-4 2.8259307e-4 1.5766152e-4 1.5766152e-4 4.0711096e-4 1.5766152e-4 2.8259307e-4 4.0711096e-4 7.792287e-4 1.5766152e-4 2.8259307e-4 0.009215301 1.5766152e-4 0.0037288826 1.5766152e-4 0.002257858 0.12094789 9.029397e-4 0.3000994 0.0012733908 0.19788693 0.16326201 0.013585646 0.1424144 7.792287e-4 0.020485258 4.0711096e-4 0.0013966877 0.013464402 2.8259307e-4 4.0711096e-4 0.0017661288 1.5766152e-4 1.5766152e-4 0.19788693 2.337252 2.7110083 
701 1 9 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 58 96 4 600000 0 0 23 192 1 0 0.9762518 0.023748161 1.0 1.0 1.0767222e-4 13.1810665 2.6482463 1.0767222e-4 1.0767222e-4 1.0767222e-4 1.0767222e-4 1.0767222e-4 1.0767222e-4 1.0767222e-4 1.0767222e-4 1.0767222e-4 1.0767222e-4 1.0767222e-4 1.911234e-4 1.0767222e-4 1.0767222e-4 2.7366678e-4 1.0767222e-4 1.911234e-4 2.7366678e-4 0.0012853633 1.0767222e-4 1.911234e-4 0.008795256 1.0767222e-4 0.0051319245 1.0767222e-4 0.0017270439 0.09978339 5.9896515e-4 0.29453406 0.0018526999 0.25935596 0.14941683 0.0122258505 0.124157675 5.181724e-4 0.020991666 2.7366678e-4 0.0011744057 0.012630411 1.911234e-4 2.7366678e-4 0.001915449 1.0767222e-4 1.0767222e-4 1.0767222e-4 13.1810665 2.6482463 
701 1 10 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 56 96 4 600000 0 0 23 216 0 0 0.98173904 0.018260967 1.0 1.0 0.23598899 2.0832086 3.1278293 0.0010319402 0.0025370421 0.0055017066 0.0010319402 0.0069714035 0.01280136 0.0025370421 0.025757905 0.0010319402 0.12552279 0.23598899 0.099060334 0.16571867 0.0040245773 0.21949488 0.0025370421 0.0055017066 0.045680415 0.0010319402 0.0069714035 0.0010319402 0.0010319402 0.0010319402 0.0010319402 0.0040245773 0.0025370421 0.0010319402 0.0010319402 0.0010319402 0.0010319402 0.0010319402 0.0010319402 0.0010319402 0.0010319402 0.0010319402 0.0010319402 0.0010319402 0.0010319402 0.0010319402 0.0010319402 0.0010319402 0.0010319402 0.0010319402 0.0010319402 0.23598899 2.0832086 3.1278293 
