dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpint-cpitch cpitch.order.stm.cpint-cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpint-cpitch cpitch.weight.stm.cpint-cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 cpitch.89 cpitch.90 probability information.content entropy 
701 1 1 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 0 0 NA NA 90 96 4 600000 0 0 23 0 0 0 0.5 0.5 1.0 1.0 0.022727273 5.4594316 5.45943 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 5.4594316 5.45943 
701 1 2 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 83 96 4 600000 0 0 23 24 0 0 0.87773633 0.122263715 1.0 1.0 0.01374511 6.184938 4.518354 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.01374511 0.21135277 0.21135277 0.01374511 6.184938 4.518354 
701 1 3 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 62 96 4 600000 0 0 23 48 0 0 0.8335079 0.16649213 1.0 1.0 0.013252684 6.2375712 4.7368016 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.09964323 0.013252684 0.09964323 0.013252684 0.17096289 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.09964323 0.013252684 0.013252684 0.013252684 0.013252684 6.2375712 4.7368016 
701 1 4 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 57 96 4 600000 0 0 23 72 0 0 0.9583325 0.041667506 1.0 1.0 0.015073967 6.051797 3.5679035 5.7473185e-4 5.7473185e-4 5.7473185e-4 5.7473185e-4 0.0028850564 5.7473185e-4 9.7224896e-4 0.0040023187 0.00473938 0.015422992 9.7224896e-4 0.015073967 0.014374849 0.04295265 0.1950655 0.043619737 0.20661017 0.04094863 0.15614565 0.0637812 0.028825255 0.08171867 0.0013626087 0.027125554 0.0051059956 0.015771676 0.006923446 5.7473185e-4 0.0115626855 9.7224896e-4 0.001748095 9.7224896e-4 5.7473185e-4 5.7473185e-4 5.7473185e-4 5.7473185e-4 5.7473185e-4 5.7473185e-4 5.7473185e-4 5.7473185e-4 5.7473185e-4 5.7473185e-4 5.7473185e-4 5.7473185e-4 0.015073967 6.051797 3.5679035 
701 1 5 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 55 96 4 600000 0 0 23 96 1 0 0.96829027 0.031709712 1.0 1.0 0.16222389 2.6239417 3.4035838 5.8177573e-4 5.8177573e-4 5.8177573e-4 0.0013407274 0.0049941638 5.8177573e-4 0.008552127 0.0042739157 0.06958475 0.16222389 0.016227514 0.24028079 0.030578347 0.14185861 0.051574122 0.028951937 0.109468825 5.8177573e-4 0.02555374 0.015743392 0.06800236 0.002085001 5.8177573e-4 0.0028204774 0.0013407274 5.8177573e-4 5.8177573e-4 5.8177573e-4 5.8177573e-4 5.8177573e-4 5.8177573e-4 5.8177573e-4 5.8177573e-4 5.8177573e-4 5.8177573e-4 5.8177573e-4 5.8177573e-4 5.8177573e-4 5.8177573e-4 5.8177573e-4 5.8177573e-4 5.8177573e-4 5.8177573e-4 5.8177573e-4 0.16222389 2.6239417 3.4035838 
701 1 6 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 51 96 4 600000 0 0 23 120 2 0 0.98772836 0.012271651 1.0 1.0 0.0034488533 8.179667 2.942738 2.6736563e-4 0.0020695485 0.004148182 2.6736563e-4 0.005915378 0.0034488533 0.05139058 0.08123422 0.36405364 0.20326698 0.005915378 0.08697804 0.017374646 0.022537172 0.08925984 2.6736563e-4 0.015633436 0.003798718 0.025929796 0.0069823046 2.6736563e-4 0.0023963854 2.6736563e-4 2.6736563e-4 9.830706e-4 2.6736563e-4 2.6736563e-4 2.6736563e-4 2.6736563e-4 2.6736563e-4 2.6736563e-4 2.6736563e-4 2.6736563e-4 2.6736563e-4 2.6736563e-4 2.6736563e-4 2.6736563e-4 2.6736563e-4 2.6736563e-4 2.6736563e-4 2.6736563e-4 2.6736563e-4 2.6736563e-4 2.6736563e-4 0.0034488533 8.179667 2.942738 
701 1 7 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 76 96 4 600000 0 0 23 144 1 0 0.98038745 0.019612592 1.0 1.0 0.0026098695 8.581806 3.175088 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.042661082 0.13336892 0.0026098695 0.15900013 0.0026098695 0.31138134 0.0026098695 0.0026098695 0.17178383 0.0026098695 0.029480534 0.0026098695 0.0026098695 0.055759307 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 0.0026098695 8.581806 3.175088 
701 1 8 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 76 96 4 600000 0 0 23 168 0 0 0.98821443 0.01178558 1.0 1.0 0.18985035 2.3970654 2.9301102 5.396021e-4 5.396021e-4 5.396021e-4 5.396021e-4 5.396021e-4 5.396021e-4 5.396021e-4 5.396021e-4 5.396021e-4 5.396021e-4 5.396021e-4 5.396021e-4 5.396021e-4 5.396021e-4 5.396021e-4 5.396021e-4 0.0012650852 0.0012650852 0.009089122 0.0012650852 0.0034171646 0.0041301474 0.012609541 0.025898457 0.0027023896 0.043952633 0.061916117 0.06329508 0.4118681 0.026595127 0.18985035 0.066740945 0.04602925 0.011202997 5.396021e-4 0.0034171646 5.396021e-4 5.396021e-4 5.396021e-4 5.396021e-4 5.396021e-4 5.396021e-4 5.396021e-4 5.396021e-4 0.18985035 2.3970654 2.9301102 
701 1 9 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 58 96 4 600000 0 0 23 192 1 0 0.95511955 0.044880453 1.0 1.0 5.0281704e-4 10.957679 2.9737258 5.0281704e-4 5.0281704e-4 5.0281704e-4 5.0281704e-4 5.0281704e-4 5.0281704e-4 5.0281704e-4 5.0281704e-4 5.0281704e-4 5.0281704e-4 5.0281704e-4 5.0281704e-4 5.0281704e-4 5.0281704e-4 5.0281704e-4 5.0281704e-4 0.0011456792 0.0011456792 0.009287744 0.0011456792 0.0046370234 0.004414754 0.012134128 0.025724946 0.0040431186 0.04637023 0.05937519 0.060425133 0.36984697 0.026270917 0.23743762 0.05944084 0.045772307 0.01255819 5.0281704e-4 0.0062531554 5.0281704e-4 5.0281704e-4 5.0281704e-4 5.0281704e-4 5.0281704e-4 5.0281704e-4 5.0281704e-4 5.0281704e-4 5.0281704e-4 10.957679 2.9737258 
701 1 10 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 56 96 4 600000 0 0 23 216 0 0 0.96711516 0.032884836 1.0 1.0 0.075367205 3.7299192 3.4287827 0.0011810479 0.0011810479 0.0011810479 0.0011810479 0.0011810479 0.0011810479 0.0011810479 0.0032106417 0.0032106417 0.053680476 0.075367205 0.11283754 0.25420943 0.0051940638 0.12169066 0.0032106417 0.08791544 0.13581085 0.0011810479 0.051861122 0.0011810479 0.029829044 0.0032106417 0.0051940638 0.020498581 0.0011810479 0.0011810479 0.0011810479 0.0011810479 0.0011810479 0.0011810479 0.0011810479 0.0011810479 0.0011810479 0.0011810479 0.0011810479 0.0011810479 0.0011810479 0.0011810479 0.0011810479 0.0011810479 0.0011810479 0.0011810479 0.0011810479 0.075367205 3.7299192 3.4287827 
