dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpintfref cpitch.order.stm.cpintfref cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpintfref cpitch.weight.stm.cpintfref cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.51 cpitch.53 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 cpitch.89 cpitch.90 probability information.content entropy 
701 1 1 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 0 0 NA NA 90 96 4 600000 0 0 23 0 0 0 0.5010166 0.49898335 1.0 1.0 0.027572962 5.180602 5.2372413 0.020679722 0.028062021 0.020306332 0.02854273 0.02854273 0.028062021 0.027572962 0.028062021 0.027572962 0.027572962 0.027075112 0.028062021 0.020679722 0.020306332 0.027572962 0.02854273 0.02854273 0.028062021 0.027572962 0.028062021 0.027572962 0.027572962 0.027075112 0.028062021 0.020679722 0.020306332 0.027572962 0.02854273 0.02854273 0.028062021 0.027572962 0.028062021 0.027572962 0.027572962 0.027075112 0.020679722 0.020306332 0.027572962 0.027572962 5.180602 5.2372413 
701 1 2 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 83 96 4 600000 0 0 23 24 1 0 0.32834566 0.67165434 1.0 1.0 0.021014424 5.5724764 5.04682 0.016764661 0.026234897 0.01859666 0.02124965 0.022764478 0.0225606 0.022352884 0.021014424 0.020773685 0.02373189 0.022141138 0.026234897 0.016764661 0.01859666 0.08336129 0.02124965 0.022764478 0.0225606 0.022352884 0.021014424 0.020773685 0.02373189 0.022141138 0.026234897 0.016764661 0.01859666 0.08336129 0.02124965 0.022764478 0.0225606 0.022352884 0.021014424 0.020773685 0.02373189 0.022141138 0.016764661 0.01859666 0.08336129 0.021014424 5.5724764 5.04682 
701 1 3 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 62 96 4 600000 0 0 23 48 1 0 0.38900182 0.6109982 1.0 1.0 0.023367474 5.4193544 5.089885 0.01432752 0.019365922 0.015968248 0.019623004 0.023936745 0.019365922 0.025359424 0.056250814 0.028457118 0.02151302 0.023367474 0.019365922 0.01432752 0.015968248 0.055699542 0.019623004 0.023936745 0.019365922 0.025359424 0.056250814 0.028457118 0.02151302 0.023367474 0.019365922 0.01432752 0.015968248 0.055699542 0.019623004 0.023936745 0.019365922 0.025359424 0.056250814 0.028457118 0.02151302 0.023367474 0.01432752 0.015968248 0.055699542 0.023367474 5.4193544 5.089885 
701 1 4 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 57 96 4 600000 0 0 23 72 2 0 0.4775613 0.5224387 1.0 0.99999994 0.020458585 5.61115 5.135828 0.015154774 0.017759446 0.027466923 0.018049309 0.020707449 0.020458585 0.020206366 0.052051637 0.017464306 0.0367548 0.038880374 0.017759446 0.015154774 0.027466923 0.034172095 0.018049309 0.020707449 0.020458585 0.020206366 0.052051637 0.017464306 0.0367548 0.038880374 0.017759446 0.015154774 0.027466923 0.034172095 0.018049309 0.020707449 0.020458585 0.020206366 0.052051637 0.017464306 0.0367548 0.038880374 0.015154774 0.027466923 0.034172095 0.020458585 5.61115 5.135828 
701 1 5 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 55 96 4 600000 0 0 23 96 2 0 0.5182934 0.48170662 1.0 1.0 0.02304251 5.4395585 5.187164 0.013672655 0.018564804 0.037386104 0.02304251 0.024874907 0.0345881 0.022493575 0.031025607 0.022493575 0.02046536 0.03360612 0.018564804 0.013672655 0.037386104 0.034100395 0.02304251 0.024874907 0.0345881 0.022493575 0.031025607 0.022493575 0.02046536 0.03360612 0.018564804 0.013672655 0.037386104 0.034100395 0.02304251 0.024874907 0.0345881 0.022493575 0.031025607 0.022493575 0.02046536 0.03360612 0.013672655 0.037386104 0.034100395 0.02304251 5.4395585 5.187164 
701 1 6 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 51 96 4 600000 0 0 23 120 2 0 0.5306114 0.4693886 1.0 1.0 0.03631831 4.7831593 5.1815624 0.018133152 0.03631831 0.014964936 0.034430586 0.022856813 0.031065943 0.04094319 0.027838718 0.01803127 0.020263534 0.026838016 0.03631831 0.018133152 0.014964936 0.030616205 0.034430586 0.022856813 0.031065943 0.04094319 0.027838718 0.01803127 0.020263534 0.026838016 0.03631831 0.018133152 0.014964936 0.030616205 0.034430586 0.022856813 0.031065943 0.04094319 0.027838718 0.01803127 0.020263534 0.026838016 0.018133152 0.014964936 0.030616205 0.03631831 4.7831593 5.1815624 
701 1 7 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 76 96 4 600000 0 0 23 144 2 0 0.6434299 0.35657007 1.0 1.0 0.023492763 5.4116397 5.081847 0.023492763 0.025935372 0.014453426 0.02634816 0.016765784 0.021466546 0.06958594 0.021466546 0.019602537 0.016037794 0.025098665 0.025935372 0.023492763 0.014453426 0.040431056 0.02634816 0.016765784 0.021466546 0.06958594 0.021466546 0.019602537 0.016037794 0.025098665 0.025935372 0.023492763 0.014453426 0.040431056 0.02634816 0.016765784 0.021466546 0.06958594 0.021466546 0.019602537 0.016037794 0.025098665 0.023492763 0.014453426 0.040431056 0.023492763 5.4116397 5.081847 
701 1 8 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 76 96 4 600000 0 0 23 168 2 0 0.50854206 0.4914579 1.0 1.0 0.02077101 5.589285 5.200194 0.02077101 0.034918487 0.015291879 0.036748443 0.027669067 0.028110825 0.020714786 0.02614369 0.019172836 0.02829732 0.035779357 0.034918487 0.02077101 0.015291879 0.027694682 0.036748443 0.027669067 0.028110825 0.020714786 0.02614369 0.019172836 0.02829732 0.035779357 0.034918487 0.02077101 0.015291879 0.027694682 0.036748443 0.027669067 0.028110825 0.020714786 0.02614369 0.019172836 0.02829732 0.035779357 0.02077101 0.015291879 0.027694682 0.02077101 5.589285 5.200194 
701 1 9 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 58 96 4 600000 0 0 23 192 2 1 0.50277823 0.49722174 0.99999994 1.0 0.019147703 5.706685 5.138562 0.04146062 0.054407146 0.01413758 0.026435219 0.019729575 0.02605923 0.019147703 0.024255604 0.017737946 0.020461556 0.02529068 0.054407146 0.04146062 0.01413758 0.025677798 0.026435219 0.019729575 0.02605923 0.019147703 0.024255604 0.017737946 0.020461556 0.02529068 0.054407146 0.04146062 0.01413758 0.025677798 0.026435219 0.019729575 0.02605923 0.019147703 0.024255604 0.017737946 0.020461556 0.02529068 0.04146062 0.01413758 0.025677798 0.019147703 5.706685 5.138562 
701 1 10 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 56 96 4 600000 0 0 23 216 2 0 0.5307133 0.46928668 1.0 1.0 0.019685814 5.6667 5.1861424 0.022145333 0.029527111 0.013961449 0.042171255 0.019685814 0.03409713 0.023789693 0.038179725 0.027192993 0.02340677 0.023350747 0.029527111 0.022145333 0.013961449 0.023789693 0.042171255 0.019685814 0.03409713 0.023789693 0.038179725 0.027192993 0.02340677 0.023350747 0.029527111 0.022145333 0.013961449 0.023789693 0.042171255 0.019685814 0.03409713 0.023789693 0.038179725 0.027192993 0.02340677 0.023350747 0.022145333 0.013961449 0.023789693 0.019685814 5.6667 5.1861424 
