dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpitch cpitch.order.stm.cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpitch cpitch.weight.stm.cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.51 cpitch.53 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 cpitch.89 cpitch.90 probability information.content entropy 
701 1 1 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 0 0 NA NA 90 96 4 600000 0 0 23 0 0 0 0.5114899 0.4885101 1.0 1.0 0.023838075 5.3905883 5.2389913 0.022951392 0.022030713 0.022030713 0.023838075 0.022951392 0.02469432 0.022951392 0.030038198 0.026326943 0.026326943 0.028608954 0.027868127 0.028608954 0.028608954 0.030038198 0.032067895 0.03140526 0.029331893 0.03140526 0.026326943 0.030728992 0.029331893 0.026326943 0.030728992 0.025523102 0.026326943 0.025523102 0.025523102 0.025523102 0.026326943 0.02469432 0.02469432 0.022951392 0.022951392 0.022951392 0.02469432 0.022951392 0.023838075 0.023838075 5.3905883 5.2389913 
701 1 2 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 83 96 4 600000 0 0 23 24 1 0 0.3222385 0.67776155 1.0 0.99999994 0.018236654 5.7770147 4.600642 0.017414808 0.016971376 0.016971376 0.017835686 0.017414808 0.018236654 0.017414808 0.020632107 0.018987216 0.018987216 0.020008072 0.019680083 0.020008072 0.020008072 0.020632107 0.02149975 0.021218782 0.020325126 0.021218782 0.018987216 0.020929765 0.020325126 0.018987216 0.020929765 0.01861989 0.018987216 0.01861989 0.01861989 0.01861989 0.018987216 0.018236654 0.018236654 0.017414808 0.017414808 0.017414808 0.018236654 0.036390454 0.2785771 0.018236654 5.7770147 4.600642 
701 1 3 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 62 96 4 600000 0 0 23 48 1 0 0.3131677 0.6868323 1.0 1.0 0.0212211 5.558357 4.966067 0.018542932 0.018083896 0.018083896 0.018978313 0.018542932 0.019392828 0.018542932 0.021864055 0.020168062 0.020168062 0.0212211 0.02088294 0.0212211 0.0212211 0.021864055 0.022757102 0.022468025 0.021547837 0.022468025 0.020168062 0.03464476 0.021547837 0.033949103 0.022170553 0.01978877 0.020168062 0.01978877 0.01978877 0.01978877 0.020168062 0.019392828 0.11723657 0.018542932 0.018542932 0.033467367 0.019392828 0.018542932 0.11489084 0.0212211 5.558357 4.966067 
701 1 4 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 57 96 4 600000 0 0 23 72 1 0 0.32132813 0.6786719 1.0 1.0 0.026899548 5.2162743 4.9846973 0.01762017 0.017172758 0.017172758 0.018044794 0.01762017 0.026899548 0.01762017 0.032693587 0.019206427 0.027251111 0.09808598 0.019905277 0.020236075 0.02776115 0.020865409 0.021740334 0.021457022 0.020555828 0.021457022 0.027251111 0.021165581 0.020555828 0.019206427 0.021165581 0.027076535 0.019206427 0.018835898 0.018835898 0.018835898 0.019206427 0.0184493 0.08987901 0.01762017 0.01762017 0.01762017 0.0184493 0.01762017 0.08803429 0.026899548 5.2162743 4.9846973 
701 1 5 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 55 96 4 600000 0 0 23 96 2 0 0.7230322 0.27696782 1.0 1.0 0.016047217 5.961533 4.7868557 0.015209997 0.01435473 0.01435473 0.016047217 0.015209997 0.031438127 0.015209997 0.022249848 0.018465728 0.018465728 0.03826892 0.020012083 0.020768201 0.19854058 0.022249848 0.024404386 0.023694605 0.021513911 0.08149721 0.018465728 0.02297658 0.021513911 0.018465728 0.02297658 0.017673794 0.018465728 0.017673794 0.017673794 0.017673794 0.018465728 0.016868021 0.031438127 0.015209997 0.015209997 0.015209997 0.016868021 0.015209997 0.030004818 0.016047217 5.961533 4.7868557 
701 1 6 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 51 96 4 600000 0 0 23 120 1 0 0.76755524 0.23244476 0.99999994 1.0 0.014523404 6.1054764 4.7099967 0.015443659 0.014523404 0.014523404 0.026789553 0.015443659 0.028150039 0.015443659 0.023127077 0.01897469 0.01897469 0.03468381 0.02066575 0.0214956 0.0214956 0.023127077 0.025511343 0.02472439 0.022315856 0.24487725 0.01897469 0.02392977 0.022315856 0.01897469 0.02392977 0.018111974 0.01897469 0.018111974 0.018111974 0.018111974 0.01897469 0.017236624 0.028150039 0.015443659 0.015443659 0.015443659 0.017236624 0.015443659 0.026789553 0.014523404 6.1054764 4.7099967 
701 1 7 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 76 96 4 600000 0 0 23 144 0 0 0.33741516 0.66258484 1.0 1.0 0.019352576 5.691331 5.05868 0.01844035 0.058522206 0.018115692 0.060482316 0.01844035 0.061417244 0.01844035 0.02095939 0.01963862 0.01963862 0.06571979 0.020187378 0.0204511 0.0204511 0.02095939 0.02167927 0.021444563 0.020708308 0.021444563 0.01963862 0.021204703 0.020708308 0.01963862 0.021204703 0.019352576 0.01963862 0.019352576 0.019352576 0.019352576 0.01963862 0.01905798 0.061417244 0.01844035 0.01844035 0.01844035 0.01905798 0.01844035 0.060482316 0.019352576 5.691331 5.05868 
701 1 8 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 76 96 4 600000 0 0 23 168 1 0 0.46869162 0.5313084 0.99999994 1.0 0.0452919 4.4646034 5.081441 0.017647056 0.041499317 0.017216964 0.043442547 0.017647056 0.044378147 0.017647056 0.021082273 0.019259805 0.019259805 0.08907903 0.048622474 0.020375451 0.020375451 0.021082273 0.022094768 0.0217632 0.020732278 0.0217632 0.019259805 0.021425804 0.037879724 0.019259805 0.021425804 0.0452919 0.019259805 0.01887124 0.01887124 0.01887124 0.019259805 0.01847339 0.044378147 0.017647056 0.017647056 0.017647056 0.01847339 0.017647056 0.043442547 0.0452919 4.4646034 5.081441 
701 1 9 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 58 96 4 600000 0 0 23 192 1 1 0.18649718 0.8135028 1.0 1.0 0.012705332 6.2984223 4.4014006 0.012705332 0.047054384 0.012581201 0.047919057 0.012705332 0.048327073 0.012705332 0.013637119 0.01315523 0.01315523 0.061261255 0.018124385 0.0134533215 0.0134533215 0.013637119 0.013894049 0.013810706 0.0135465795 0.013810706 0.01315523 0.01372511 0.016541382 0.01315523 0.01372511 0.28235877 0.01315523 0.013048976 0.013048976 0.013048976 0.01315523 0.012938805 0.048327073 0.012705332 0.012705332 0.012705332 0.012938805 0.012705332 0.047919057 0.012705332 6.2984223 4.4014006 
701 1 10 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 56 96 4 600000 0 0 23 216 1 0 0.5315242 0.4684758 1.0 1.0 0.01861159 5.747655 5.139491 0.01861159 0.03743435 0.01809803 0.03942838 0.01861159 0.040392745 0.03844276 0.022771105 0.020552022 0.020552022 0.04493925 0.021463916 0.021907277 0.021907277 0.022771105 0.024015253 0.023606965 0.07396794 0.023606965 0.020552022 0.023192352 0.022342872 0.020552022 0.023192352 0.042263072 0.020552022 0.020082444 0.020082444 0.020082444 0.020552022 0.019602982 0.040392745 0.01861159 0.01861159 0.01861159 0.019602982 0.01861159 0.03942838 0.01861159 5.747655 5.139491 
