dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpintfref cpitch.order.stm.cpintfref cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpintfref cpitch.weight.stm.cpintfref cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.88 probability information.content entropy 
700 1 1 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 0 0 NA NA 58 96 4 600000 0 1 23 0 0 0 0.6948056 0.30519438 1.0 1.0 0.010753025 6.5391135 4.899951 0.017771717 0.036867805 0.03455458 0.0064641647 0.056863286 0.0077133216 0.017771717 0.008677824 0.025414923 0.055060923 0.002643849 0.046410833 0.010753025 0.036867805 0.03455458 0.0064641647 0.056863286 0.0077133216 0.017771717 0.008677824 0.025414923 0.055060923 0.002643849 0.046410833 0.010753025 0.036867805 0.03455458 0.0064641647 0.056863286 0.0077133216 0.017771717 0.008677824 0.025414923 0.055060923 0.002643849 0.046410833 0.010753025 0.036867805 0.017771717 0.010753025 6.5391135 4.899951 
700 1 2 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 69 96 4 600000 0 1 23 24 1 0 0.68537974 0.31462026 1.0 1.0 0.07806592 3.6791632 4.562399 0.0027459364 0.011520684 0.05746362 0.0034123154 0.02728693 0.015126633 0.0027459364 0.010221135 0.003935065 0.03146015 0.0073850523 0.07806592 0.079039015 0.011520684 0.05746362 0.0034123154 0.02728693 0.015126633 0.0027459364 0.010221135 0.003935065 0.03146015 0.0073850523 0.07806592 0.079039015 0.011520684 0.05746362 0.0034123154 0.02728693 0.015126633 0.0027459364 0.010221135 0.003935065 0.03146015 0.0073850523 0.07806592 0.079039015 0.011520684 0.0027459364 0.07806592 3.6791632 4.562399 
700 1 3 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 77 96 4 600000 0 1 23 48 2 0 0.72909534 0.27090463 1.0 0.99999994 0.0029456294 8.407208 4.5247245 0.004690602 0.0401493 0.015527396 0.0022956296 0.027063068 0.0024608267 0.004690602 0.0029456294 0.017221384 0.0888412 0.003911394 0.07379398 0.03792279 0.0401493 0.015527396 0.0022956296 0.027063068 0.0024608267 0.004690602 0.0029456294 0.017221384 0.0888412 0.003911394 0.07379398 0.03792279 0.0401493 0.015527396 0.0022956296 0.027063068 0.0024608267 0.004690602 0.0029456294 0.017221384 0.0888412 0.003911394 0.07379398 0.03792279 0.0401493 0.004690602 0.0029456294 8.407208 4.5247245 
700 1 4 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 74 96 4 600000 0 1 23 72 3 0 0.5364994 0.4635006 1.0 1.0 0.031909194 4.969884 4.9922757 0.01732353 0.017455803 0.019783415 0.0048415707 0.031909194 0.03558388 0.01732353 0.062999085 0.01432055 0.036911264 0.0024276 0.04370193 0.028707936 0.017455803 0.019783415 0.0048415707 0.031909194 0.03558388 0.01732353 0.062999085 0.01432055 0.036911264 0.0024276 0.04370193 0.028707936 0.017455803 0.019783415 0.0048415707 0.031909194 0.03558388 0.01732353 0.062999085 0.01432055 0.036911264 0.0024276 0.04370193 0.028707936 0.017455803 0.01732353 0.031909194 4.969884 4.9922757 
700 1 5 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 72 96 4 600000 0 1 23 96 2 0 0.5765765 0.4234235 1.0 1.0 0.03523807 4.826721 4.975094 0.01395487 0.013434535 0.03523807 0.011736523 0.056767374 0.03207278 0.01395487 0.045202903 0.006792349 0.031949423 0.0065404926 0.013743165 0.05211946 0.013434535 0.03523807 0.011736523 0.056767374 0.03207278 0.01395487 0.045202903 0.006792349 0.031949423 0.0065404926 0.013743165 0.05211946 0.013434535 0.03523807 0.011736523 0.056767374 0.03207278 0.01395487 0.045202903 0.006792349 0.031949423 0.0065404926 0.013743165 0.05211946 0.013434535 0.01395487 0.03523807 4.826721 4.975094 
700 1 6 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 72 96 4 600000 0 1 23 120 3 0 0.7873863 0.21261372 1.0 1.0 0.048587084 4.3632836 4.568731 0.0050285994 0.08535546 0.048587084 0.0036016342 0.024490869 0.010674666 0.0050285994 0.007890511 0.004241343 0.011955913 0.0036016342 0.03923126 0.056870107 0.08535546 0.048587084 0.0036016342 0.024490869 0.010674666 0.0050285994 0.007890511 0.004241343 0.011955913 0.0036016342 0.03923126 0.056870107 0.08535546 0.048587084 0.0036016342 0.024490869 0.010674666 0.0050285994 0.007890511 0.004241343 0.011955913 0.0036016342 0.03923126 0.056870107 0.08535546 0.0050285994 0.048587084 4.3632836 4.568731 
700 1 7 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 66 96 4 600000 0 1 23 144 4 1 0.62753236 0.37246767 1.0 1.0 0.0075197956 7.055091 4.6697235 0.0073449314 0.038894165 0.09859158 0.0052567003 0.034414016 0.005988279 0.0073449314 0.009738064 0.0075197956 0.05308937 0.0052567003 0.027370851 0.022007525 0.038894165 0.09859158 0.0052567003 0.034414016 0.005988279 0.0073449314 0.009738064 0.0075197956 0.05308937 0.0052567003 0.027370851 0.022007525 0.038894165 0.09859158 0.0052567003 0.034414016 0.005988279 0.0073449314 0.009738064 0.0075197956 0.05308937 0.0052567003 0.027370851 0.022007525 0.038894165 0.0073449314 0.0075197956 7.055091 4.6697235 
700 1 8 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 67 96 4 600000 0 1 23 168 4 0 0.8853307 0.114669286 1.0 1.0 0.14957018 2.7411056 4.057564 0.034604385 0.004102111 0.0028244413 0.0016972222 0.024459898 0.0019761238 0.034604385 0.0017355728 0.033130568 0.14957018 0.0020679312 0.051198903 0.0015290491 0.004102111 0.0028244413 0.0016972222 0.024459898 0.0019761238 0.034604385 0.0017355728 0.033130568 0.14957018 0.0020679312 0.051198903 0.0015290491 0.004102111 0.0028244413 0.0016972222 0.024459898 0.0019761238 0.034604385 0.0017355728 0.033130568 0.14957018 0.0020679312 0.051198903 0.0015290491 0.004102111 0.034604385 0.14957018 2.7411056 4.057564 
700 1 9 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 75 96 4 600000 0 1 23 192 5 0 0.9601408 0.039859224 1.0 1.0 0.0011766972 9.731041 3.3791537 0.0053651608 0.04093981 0.0015098104 0.0010256375 0.013425899 0.0011766972 0.0053651608 0.0014334325 0.012029184 0.014747196 0.0014018124 0.22169843 0.0013568853 0.04093981 0.0015098104 0.0010256375 0.013425899 0.0011766972 0.0053651608 0.0014334325 0.012029184 0.014747196 0.0014018124 0.22169843 0.0013568853 0.04093981 0.0015098104 0.0010256375 0.013425899 0.0011766972 0.0053651608 0.0014334325 0.012029184 0.014747196 0.0014018124 0.22169843 0.0013568853 0.04093981 0.0053651608 0.0011766972 9.731041 3.3791537 
700 1 10 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 75 96 4 600000 0 1 23 216 3 0 0.8300397 0.16996033 1.0 1.0 0.06122739 4.029679 4.4112935 0.007810765 0.0038467306 0.028430618 0.0048229853 0.120243 0.06122739 0.007810765 0.049148988 0.0058548274 0.021277938 0.005431267 0.006177021 0.012572413 0.0038467306 0.028430618 0.0048229853 0.120243 0.06122739 0.007810765 0.049148988 0.0058548274 0.021277938 0.005431267 0.006177021 0.012572413 0.0038467306 0.028430618 0.0048229853 0.120243 0.06122739 0.007810765 0.049148988 0.0058548274 0.021277938 0.005431267 0.006177021 0.012572413 0.0038467306 0.007810765 0.06122739 4.029679 4.4112935 
