dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpintfref cpitch.order.stm.cpintfref cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpintfref cpitch.weight.stm.cpintfref cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.88 probability information.content entropy 
700 1 1 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 0 0 NA NA 58 96 4 600000 0 1 23 0 0 0 0.6945132 0.30548674 1.0 1.0 0.010784102 6.53495 4.901085 0.017771892 0.036847327 0.03454433 0.0065049683 0.05682643 0.0077230195 0.017771892 0.008695459 0.025409104 0.055026334 0.002674762 0.046395253 0.010784102 0.036847327 0.03454433 0.0065049683 0.05682643 0.0077230195 0.017771892 0.008695459 0.025409104 0.055026334 0.002674762 0.046395253 0.010784102 0.036847327 0.03454433 0.0065049683 0.05682643 0.0077230195 0.017771892 0.008695459 0.025409104 0.055026334 0.002674762 0.046395253 0.010784102 0.036847327 0.017771892 0.010784102 6.53495 4.901085 
700 1 2 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 69 96 4 600000 0 1 23 24 1 0 0.6827713 0.31722867 0.99999994 1.0 0.07741 3.6913362 4.5708017 0.0027527837 0.011493923 0.05704714 0.0040475526 0.02741099 0.015093826 0.0027527837 0.010214859 0.0039459695 0.031533338 0.007390229 0.07741 0.079326235 0.011493923 0.05704714 0.0040475526 0.02741099 0.015093826 0.0027527837 0.010214859 0.0039459695 0.031533338 0.007390229 0.07741 0.079326235 0.011493923 0.05704714 0.0040475526 0.02741099 0.015093826 0.0027527837 0.010214859 0.0039459695 0.031533338 0.007390229 0.07741 0.079326235 0.011493923 0.0027527837 0.07741 3.6913362 4.5708017 
700 1 3 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 77 96 4 600000 0 1 23 48 2 0 0.7293955 0.27060446 1.0 0.99999994 0.0029466888 8.40669 4.524055 0.004655994 0.04006864 0.015532417 0.00228711 0.027033674 0.0024642583 0.004655994 0.0029466888 0.017180819 0.08899148 0.0039502503 0.07371956 0.038042244 0.04006864 0.015532417 0.00228711 0.027033674 0.0024642583 0.004655994 0.0029466888 0.017180819 0.08899148 0.0039502503 0.07371956 0.038042244 0.04006864 0.015532417 0.00228711 0.027033674 0.0024642583 0.004655994 0.0029466888 0.017180819 0.08899148 0.0039502503 0.07371956 0.038042244 0.04006864 0.004655994 0.0029466888 8.40669 4.524055 
700 1 4 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 74 96 4 600000 0 1 23 72 3 0 0.5220412 0.47795886 1.0 1.0 0.03254334 4.941494 5.0204434 0.016695982 0.018732416 0.020773476 0.005449759 0.03254334 0.032594915 0.016695982 0.05898045 0.015477525 0.036346722 0.0032387762 0.046706285 0.02841889 0.018732416 0.020773476 0.005449759 0.03254334 0.032594915 0.016695982 0.05898045 0.015477525 0.036346722 0.0032387762 0.046706285 0.02841889 0.018732416 0.020773476 0.005449759 0.03254334 0.032594915 0.016695982 0.05898045 0.015477525 0.036346722 0.0032387762 0.046706285 0.02841889 0.018732416 0.016695982 0.03254334 4.941494 5.0204434 
700 1 5 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 72 96 4 600000 0 1 23 96 2 0 0.5774544 0.42254567 1.0 1.0 0.035154328 4.830154 4.9746814 0.013916542 0.013388808 0.035154328 0.011699061 0.056578115 0.033078592 0.013916542 0.045041922 0.006759242 0.03186874 0.0064928513 0.013669416 0.05194511 0.013388808 0.035154328 0.011699061 0.056578115 0.033078592 0.013916542 0.045041922 0.006759242 0.03186874 0.0064928513 0.013669416 0.05194511 0.013388808 0.035154328 0.011699061 0.056578115 0.033078592 0.013916542 0.045041922 0.006759242 0.03186874 0.0064928513 0.013669416 0.05194511 0.013388808 0.013916542 0.035154328 4.830154 4.9746814 
700 1 6 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 72 96 4 600000 0 1 23 120 3 0 0.7873863 0.21261372 1.0 1.0 0.048587084 4.3632836 4.568731 0.0050285994 0.08535546 0.048587084 0.0036016342 0.024490869 0.010674666 0.0050285994 0.007890511 0.004241343 0.011955913 0.0036016342 0.03923126 0.056870107 0.08535546 0.048587084 0.0036016342 0.024490869 0.010674666 0.0050285994 0.007890511 0.004241343 0.011955913 0.0036016342 0.03923126 0.056870107 0.08535546 0.048587084 0.0036016342 0.024490869 0.010674666 0.0050285994 0.007890511 0.004241343 0.011955913 0.0036016342 0.03923126 0.056870107 0.08535546 0.0050285994 0.048587084 4.3632836 4.568731 
700 1 7 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 66 96 4 600000 0 1 23 144 4 1 0.62753236 0.37246767 1.0 1.0 0.0075197956 7.055091 4.6697235 0.0073449314 0.038894165 0.09859158 0.0052567003 0.034414016 0.005988279 0.0073449314 0.009738064 0.0075197956 0.05308937 0.0052567003 0.027370851 0.022007525 0.038894165 0.09859158 0.0052567003 0.034414016 0.005988279 0.0073449314 0.009738064 0.0075197956 0.05308937 0.0052567003 0.027370851 0.022007525 0.038894165 0.09859158 0.0052567003 0.034414016 0.005988279 0.0073449314 0.009738064 0.0075197956 0.05308937 0.0052567003 0.027370851 0.022007525 0.038894165 0.0073449314 0.0075197956 7.055091 4.6697235 
700 1 8 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 67 96 4 600000 0 1 23 168 4 0 0.8819635 0.118036516 1.0 1.0 0.14923078 2.744383 4.0890727 0.03532747 0.0042432514 0.0029367057 0.0017634493 0.024615588 0.00195649 0.03532747 0.0034620145 0.03349743 0.14923078 0.002052046 0.04768847 0.0015935401 0.0042432514 0.0029367057 0.0017634493 0.024615588 0.00195649 0.03532747 0.0034620145 0.03349743 0.14923078 0.002052046 0.04768847 0.0015935401 0.0042432514 0.0029367057 0.0017634493 0.024615588 0.00195649 0.03532747 0.0034620145 0.03349743 0.14923078 0.002052046 0.04768847 0.0015935401 0.0042432514 0.03532747 0.14923078 2.744383 4.0890727 
700 1 9 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 75 96 4 600000 0 1 23 192 5 0 0.9601452 0.03985484 1.0 1.0 0.0011012508 9.826641 3.379098 0.0053650946 0.04093964 0.0015097756 0.0010256147 0.013425723 0.0011012508 0.0053650946 0.001433399 0.012029018 0.014747009 0.0014017834 0.22169833 0.001433399 0.04093964 0.0015097756 0.0010256147 0.013425723 0.0011012508 0.0053650946 0.001433399 0.012029018 0.014747009 0.0014017834 0.22169833 0.001433399 0.04093964 0.0015097756 0.0010256147 0.013425723 0.0011012508 0.0053650946 0.001433399 0.012029018 0.014747009 0.0014017834 0.22169833 0.001433399 0.04093964 0.0053650946 0.0011012508 9.826641 3.379098 
700 1 10 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 75 96 4 600000 0 1 23 216 3 0 0.79881793 0.20118205 1.0 1.0 0.065315366 3.9364338 4.540879 0.008543778 0.004520883 0.030940372 0.005376716 0.101823255 0.065315366 0.008543778 0.052165963 0.006936746 0.023065014 0.0060278443 0.0072809467 0.0141336415 0.004520883 0.030940372 0.005376716 0.101823255 0.065315366 0.008543778 0.052165963 0.006936746 0.023065014 0.0060278443 0.0072809467 0.0141336415 0.004520883 0.030940372 0.005376716 0.101823255 0.065315366 0.008543778 0.052165963 0.006936746 0.023065014 0.0060278443 0.0072809467 0.0141336415 0.004520883 0.008543778 0.065315366 3.9364338 4.540879 
