effect,group,term,estimate,std.error,statistic
fixed,NA,(Intercept),4.557580754004585,0.11143191970911831,40.90013674629034
fixed,NA,cat,1.096231003400108,0.24748530444707129,4.4294791799832085
ran_pars,subj_id,sd__(Intercept),0.5095222848560933,NA,NA
ran_pars,subj_id,sd__cat,0.17630004914593456,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.9999999751148824,NA,NA
ran_pars,item_id,sd__(Intercept),0.15530673957971036,NA,NA
ran_pars,Residual,sd__Observation,1.0405681474187691,NA,NA
fixed,NA,(Intercept),4.469152102548633,0.12682626770855548,35.2383791094339
fixed,NA,cat,0.9851671821181833,0.3624814712704977,2.7178414903944526
ran_pars,subj_id,sd__(Intercept),0.4885938626593329,NA,NA
ran_pars,subj_id,sd__cat,0.20153130194377827,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-1,NA,NA
ran_pars,item_id,sd__(Intercept),0.3103857298659915,NA,NA
ran_pars,Residual,sd__Observation,1.005480286050538,NA,NA
fixed,NA,(Intercept),4.381755615350156,0.09204221177696617,47.60593569793705
fixed,NA,cat,0.4858210519211955,0.18667730880940228,2.602464407804482
ran_pars,subj_id,sd__(Intercept),0.4393175147455422,NA,NA
ran_pars,subj_id,sd__cat,0.2588466524851844,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.39868166640279945,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA
ran_pars,Residual,sd__Observation,0.9891667903982839,NA,NA
fixed,NA,(Intercept),4.5927135616733485,0.10834221496008807,42.39080365271512
fixed,NA,cat,0.7178225708555313,0.25201192282714335,2.8483675010403795
ran_pars,subj_id,sd__(Intercept),0.5164650160758731,NA,NA
ran_pars,subj_id,sd__cat,0.7340442917939243,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.36195193194164305,NA,NA
ran_pars,item_id,sd__(Intercept),0.1082000784875592,NA,NA
ran_pars,Residual,sd__Observation,1.007601878498822,NA,NA
fixed,NA,(Intercept),4.454970844240383,0.10443985149441865,42.655851961628464
fixed,NA,cat,0.7236926433468555,0.21778853805818732,3.322914280977927
ran_pars,subj_id,sd__(Intercept),0.491135286750696,NA,NA
