"","melody.id","note.id","melody.name","cpitch","information.content","entropy","Viewpoint","Time"
"1",1,1,"""Dallapiccola_quartina_1""",58,5.2854023,5.285403,"cpint","Before"
"2",1,2,"""Dallapiccola_quartina_1""",69,12.216159,3.450136,"cpint","Before"
"3",1,3,"""Dallapiccola_quartina_1""",77,8.453092,3.0065491,"cpint","Before"
"4",1,4,"""Dallapiccola_quartina_1""",74,2.8722491,3.2548726,"cpint","Before"
"5",1,5,"""Dallapiccola_quartina_1""",72,1.5104158,3.0842056,"cpint","Before"
"6",1,6,"""Dallapiccola_quartina_1""",72,2.5067272,3.3532538,"cpint","Before"
"7",1,7,"""Dallapiccola_quartina_1""",66,9.81231,3.3632944,"cpint","Before"
"8",1,8,"""Dallapiccola_quartina_1""",67,1.4307494,2.8816652,"cpint","Before"
"9",1,9,"""Dallapiccola_quartina_1""",75,8.665915,3.475711,"cpint","Before"
"10",1,10,"""Dallapiccola_quartina_1""",75,3.0771422,2.7996593,"cpint","Before"
"11",1,11,"""Dallapiccola_quartina_1""",73,3.0601506,3.2281601,"cpint","Before"
"12",1,12,"""Dallapiccola_quartina_1""",68,5.7418656,3.2307367,"cpint","Before"
"13",1,13,"""Dallapiccola_quartina_1""",59,9.370802,3.4636273,"cpint","Before"
"14",1,14,"""Dallapiccola_quartina_1""",40,13.979113,3.5393786,"cpint","Before"
"15",2,1,"""Schoenberg_P""",70,5.2854023,5.285403,"cpint","Before"
"16",2,2,"""Schoenberg_P""",64,9.3960905,3.4720666,"cpint","Before"
"17",2,3,"""Schoenberg_P""",66,3.953832,3.3433897,"cpint","Before"
"18",2,4,"""Schoenberg_P""",63,4.7296324,2.9224381,"cpint","Before"
"19",2,5,"""Schoenberg_P""",65,4.518953,3.0967395,"cpint","Before"
"20",2,6,"""Schoenberg_P""",69,5.777698,3.6345744,"cpint","Before"
"21",2,7,"""Schoenberg_P""",62,7.392055,2.8707411,"cpint","Before"
"22",2,8,"""Schoenberg_P""",61,5.3195653,3.23256,"cpint","Before"
"23",2,9,"""Schoenberg_P""",67,9.725452,3.0549667,"cpint","Before"
"24",2,10,"""Schoenberg_P""",68,4.3827415,1.98105,"cpint","Before"
"25",2,11,"""Schoenberg_P""",59,9.315198,3.413996,"cpint","Before"
"26",2,12,"""Schoenberg_P""",59,1.6603982,3.3122592,"cpint","Before"
"27",2,13,"""Schoenberg_P""",60,4.991637,2.86367,"cpint","Before"
"28",3,1,"""Schoenberg_R""",60,5.2854023,5.285403,"cpint","Before"
"29",3,2,"""Schoenberg_R""",59,3.5092034,3.4779308,"cpint","Before"
"30",3,3,"""Schoenberg_R""",68,8.37566,3.0209467,"cpint","Before"
"31",3,4,"""Schoenberg_R""",67,6.114258,2.6173327,"cpint","Before"
"32",3,5,"""Schoenberg_R""",67,2.9460707,3.7919507,"cpint","Before"
"33",3,6,"""Schoenberg_R""",61,9.041066,3.1215003,"cpint","Before"
"34",3,7,"""Schoenberg_R""",62,1.9814826,2.692665,"cpint","Before"
"35",3,8,"""Schoenberg_R""",57,4.7626834,3.5812247,"cpint","Before"
"36",3,9,"""Schoenberg_R""",65,7.8590755,3.4740412,"cpint","Before"
"37",3,10,"""Schoenberg_R""",63,4.615722,2.2265456,"cpint","Before"
"38",3,11,"""Schoenberg_R""",66,5.316481,3.1168098,"cpint","Before"
"39",3,12,"""Schoenberg_R""",64,4.9570403,2.6525404,"cpint","Before"
"40",3,13,"""Schoenberg_R""",70,10.488005,3.4878216,"cpint","Before"
"41",4,1,"""Webern_froh_2""",79,5.2854023,5.285403,"cpint","Before"
"42",4,2,"""Webern_froh_2""",79,2.1924567,3.1782348,"cpint","Before"
"43",4,3,"""Webern_froh_2""",70,8.436424,3.109688,"cpint","Before"
"44",4,4,"""Webern_froh_2""",59,13.439975,3.1754925,"cpint","Before"
"45",4,5,"""Webern_froh_2""",68,2.6378462,3.417859,"cpint","Before"
"46",4,6,"""Webern_froh_2""",68,2.5357733,2.9926658,"cpint","Before"
"47",4,7,"""Webern_froh_2""",73,5.3237767,3.0697958,"cpint","Before"
"48",4,8,"""Webern_froh_2""",81,8.808073,3.403086,"cpint","Before"
"49",4,9,"""Webern_froh_2""",72,9.702295,2.910301,"cpint","Before"
"50",4,10,"""Webern_froh_2""",63,8.145938,3.5833127,"cpint","Before"
"51",4,11,"""Webern_froh_2""",76,11.166142,3.714774,"cpint","Before"
"52",4,12,"""Webern_froh_2""",62,13.9435425,2.6853695,"cpint","Before"
"53",5,1,"""Webern_qrt_V1_1""",61,5.2854023,5.285403,"cpint","Before"
"54",5,2,"""Webern_qrt_V1_1""",74,12.444739,3.4814324,"cpint","Before"
"55",5,3,"""Webern_qrt_V1_1""",83,7.890884,3.1662455,"cpint","Before"
"56",5,4,"""Webern_qrt_V1_1""",72,8.855626,2.2443883,"cpint","Before"
"57",5,5,"""Webern_qrt_V1_1""",80,9.718797,2.3784437,"cpint","Before"
"58",5,6,"""Webern_qrt_V1_1""",67,14.457716,2.8832033,"cpint","Before"
